client_id;client_country;join_date;segment
AP54723-EURO;IT;2019-01-04;Ret-E
AP56503-EURO;IT;2019-03-06;Ret-E
AP58323-EURO;IT;2019-05-17;Ret-E
AP58361-EURO;IT;2019-05-19;Ret-E
AP60022-EURO;IT;2019-07-23;Ret-E
AP60062-EURO;IT;2019-07-25;Ret-E
AP60068-EURO;IT;2019-07-25;Ret-E
AP63821-EURO;IT;2020-01-09;Ret-E
AP65925-EURO;IT;2020-03-15;Ret-E
AP67676-EURO;IT;2020-05-05;Ret-E
AP67677-EURO;IT;2020-05-05;Ret-E
AP67694-EURO;IT;2020-05-06;Ret-E
AP67704-EURO;IT;2020-05-06;Ret-E
AP67754-EURO;IT;2020-05-07;Ret-E
AP70815-EURO;IT;2020-09-14;Ret-E
AP72131-EURO;IT;2020-10-27;Ret-E
AP75555-EURO;IT;2021-02-17;Ret-E
AP75624-EURO;IT;2021-02-21;Ret-E
AP75712-EURO;IT;2021-02-23;Ret-E
AP77973-EURO;IT;2021-05-18;Ret-E
AP77989-EURO;IT;2021-05-19;Ret-N
AP78066-EURO;IT;2021-05-22;Ret-N
AP53055-EURO;IT;2018-10-15;Ret-E
AP53136-EURO;IT;2018-10-17;Ret-E
AP56555-EURO;IT;2019-03-08;Ret-E
AP56563-EURO;NULL;2019-03-08;Ret-N
AP56579-EURO;IT;2019-03-08;Ret-E
AP56653-EURO;IT;2019-03-11;Ret-E
AP61889-EURO;IT;2019-10-10;Ret-E
AP61985-EURO;IT;2019-10-14;Ret-E
AP62030-EURO;IT;2019-10-15;Ret-E
AP63858-EURO;IT;2020-01-13;Ret-E
AP63908-EURO;IT;2020-01-15;Ret-E
AP67847-EURO;IT;2020-05-10;Ret-N
AP67896-EURO;IT;2020-05-11;Ret-E
AP70882-EURO;IT;2020-09-17;Ret-E
AP70885-EURO;IT;2020-09-17;Ret-E
AP72200-EURO;IT;2020-10-30;Ret-E
AP72234-EURO;IT;2020-10-30;Ret-E
AP75765-EURO;IT;2021-02-25;Ret-E
AP75784-EURO;IT;2021-02-26;Ret-E
AP75829-EURO;IT;2021-03-01;Ret-E
AP51184-EURO;IT;2018-06-28;Ret-E
AP51228-EURO;IT;2018-07-02;Ret-E
AP51274-EURO;IT;2018-07-03;Ret-E
AP53176-EURO;IT;2018-10-21;Ret-E
AP53238-EURO;IT;2018-10-24;Ret-E
AP56689-EURO;IT;2019-03-12;Ret-E
AP5673-EURO;IT;2004-03-27;Ret-E
AP56731-EURO;IT;2019-03-13;Ret-E
AP56742-EURO;IT;2019-03-14;Ret-E
--165443-EURO;IT;2006-01-24;Res
--13315-EURO;IT;2002-07-29;Ret-E
--150278-EURO;IT;2005-10-27;Res
--15325-EURO;IT;2002-11-08;Ret-E
--154873-EURO;IT;2005-11-22;Ret-E
--19557-EURO;IT;2003-01-20;Ret-E
--19576-EURO;IT;2003-01-20;Ret-E
--210780-EURO;IT;2007-05-31;Ret-E
--211017-EURO;IT;2007-09-24;Ret-E
--185492-EURO;IT;2006-08-04;Ret-E
--19522-EURO;IT;2003-01-20;Ret-E
--212357-EURO;IT;2011-10-24;Ret-E
--212568-EURO;IT;2012-02-22;Ret-E
--212617-EURO;IT;2012-06-11;Ret-E
--211083-EURO;IT;2007-12-12;Ret-E
--211095-EURO;IT;2008-01-07;Ret-E
--211103-EURO;IT;2008-01-10;Ret-E
--211136-EURO;IT;2008-02-01;Ret-E
--211324-EURO;IT;2008-10-22;Ret-E
--211397-EURO;IT;2009-01-14;Ret-E
--211639-EURO;IT;2009-11-12;Ret-E
--21298460-EURO;IT;2015-01-28;Ret-E
--21299446-EURO;IT;2016-07-14;Ret-E
--21300591-EURO;IT;2020-01-20;Ret-E
--21300779-EURO;IT;2021-06-28;Ret-E
--21300853-EURO;KR;2022-06-16;Ret-N
--21300885-EURO;IT;2022-08-18;Ret-N
--45360-EURO;IT;2003-07-24;Ret-E
--47871-EURO;IT;2003-08-28;Ret-E
--48179-EURO;IT;2003-08-31;Ret-E
--49963-EURO;IT;2003-09-15;Ret-E
--51489-EURO;IT;2003-09-26;Ret-E
--52745-EURO;IT;2003-10-07;Ret-E
--26059-EURO;IT;2003-04-05;Ret-E
--27047-EURO;IT;2003-04-17;Ret-E
--2736-EURO;IT;1999-02-12;Res
--28957-EURO;IT;2003-05-19;Ret-E
--3267-EURO;IT;2001-09-12;Ret-E
--3309-EURO;IT;2001-09-14;Ret-E
--6228-EURO;IT;1999-01-18;Res
--6230-EURO;IT;1998-05-27;Ret-E
--62390-EURO;IT;2003-12-15;Ret-E
--56878-EURO;IT;2003-11-05;Ret-E
