product_id;product_code;product_desc;product_subgroup_desc;product_group_desc;product_subcat_desc;product_cat_desc
1106;chgownde;Change Ownership;Domain services;Domain services;Domain Names;Domains
1107;chgowndj;Change Ownership;Domain services;Domain services;Domain Names;Domains
1112;chgownec;Change Ownership;Domain services;Domain services;Domain Names;Domains
1117;chgownes;Change Ownership;Domain services;Domain services;Domain Names;Domains
1119;chgowneu;Change Ownership;Domain services;Domain services;Domain Names;Domains
1138;chgowngr;Change Ownership;Domain services;Domain services;Domain Names;Domains
1144;chgownhk;Change Ownership;Domain services;Domain services;Domain Names;Domains
251;domac;Domain;Domain Names;Domainnames;Domain Names;Domains
253;domae;Transfer of Maintainer;Domain Names;Domainnames;Domain Names;Domains
254;domaf;Domain;Domain Names;Domainnames;Domain Names;Domains
255;domag;Domain;Domain Names;Domainnames;Domain Names;Domains
256;domai;Domain;Domain Names;Domainnames;Domain Names;Domains
257;domal;Domain;Domain Names;Domainnames;Domain Names;Domains
258;domam;Domain;Domain Names;Domainnames;Domain Names;Domains
260;domao;Domain;Domain Names;Domainnames;Domain Names;Domains
262;domar;Domain;Domain Names;Domainnames;Domain Names;Domains
263;domas;Domain;Domain Names;Domainnames;Domain Names;Domains
264;domat;Domain;Domain Names;Domainnames;Domain Names;Domains
268;domaz;Domain;Domain Names;Domainnames;Domain Names;Domains
269;domba;Domain;Domain Names;Domainnames;Domain Names;Domains
272;dombe;Domain;Domain Names;Domainnames;Domain Names;Domains
274;dombg;Domain;Domain Names;Domainnames;Domain Names;Domains
280;dombo;Domain;Domain Names;Domainnames;Domain Names;Domains
281;dombr;Domain;Domain Names;Domainnames;Domain Names;Domains
286;domby;Domain;Domain Names;Domainnames;Domain Names;Domains
287;dombz;Domain;Domain Names;Domainnames;Domain Names;Domains
288;domca;Domain;Domain Names;Domainnames;Domain Names;Domains
289;domcc;Domain;Domain Names;Domainnames;Domain Names;Domains
1404;regcombs;Domain;Domain Names;Domainnames;Domain Names;Domains
1406;regcomdo;Domain;Domain Names;Domainnames;Domain Names;Domains
1412;regcomhk;Domain;Domain Names;Domainnames;Domain Names;Domains
1424;regcompa;Domain;Domain Names;Domainnames;Domain Names;Domains
2010;wcreator_premium;WebSite Premium;SiteBuilder;SiteBuilder;Other Applications;Applications
2011;wcreatornd_start;WebSite Starter;SiteBuilder;SiteBuilder;Other Applications;Applications
2014;aftermarket_setup;Aftermarket setup;Registry Services;Domain services;Domain Names;Domains
2017;dedsup_hdd250sata;Hard disk 250 GB Sata;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
2018;dedsup_hdd500sata;Hard disk 500 GB Sata;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
2019;ecommerce_premium;Ecommerce Premium;Webshop;Webshop;eCommerce;Applications
2020;ecommerce_starter;eCommerce Starter;Webshop;Webshop;eCommerce;Applications
10321;dedsup_hdd640sata;Hard disk 640 GB Sata;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
13581;csite_business;Cloud Site Business;SiteBuilder;SiteBuilder;Other Applications;Applications
8981;dedsup_hdd2000sata;Hard disk 2000 GB Sata;Dedicated Server Hosting;Dedicated Server Hosting;Professional Hosting;Hosting
29721;email25ox1q5;25 email addresses 5GB of space;Basic E-mail;Business E-mail;Communication;Applications
29801;regbar;Domain;Domain Names;Domainnames;Domain Names;Domains
29941;regexchange;Domain;Domain Names;Domainnames;Domain Names;Domains
